title,content,answer,solution,questionTypeCode,problemLevelCode,problemTypeCode,problemTypeDetailCode,metadata,createdDate,modifiedDate
형태가 일정하지 않은 모습의 그림을 보면 어떤 느낌일까요?,"이 그림에서 선의 시작과 끝은 어디일까요? 하나의 선으로 이어진 것처럼 보이는 몸은 여러 도형들로 겹쳐 있고, 형태도 일정하지 않아요. 이러한 모습이 이 그림을 더 신비롭게 보이게 하는지도 몰라요.",신비롭게 보여요.,그림의 형태가 일정하지 않아서 더 신비롭게 느껴지기 때문입니다.,QT01,PL01,PT03,PT0312,"{'options': ['어두워 보여요.', '지루해 보여요.', '아름다워 보여요.', '신비롭게 보여요.']}",2024-09-23T14:36:01.584939,2024-09-23T14:36:01.584939
파울 클레는 왜 그림에서 음악을 표현하고자 했나요?,파울 클레(1879 1940)는 음악을 사랑한 독일의 화가예요. 그림에서 음악을 표현하고자 했어요. 또 클레는 단순한 선과 도형을 이용해서 수많은 새로운 이미지들을 만들어 냈어요. 클레의 그림은 우리의 상상력을 자극하지요.,음악을 사랑해서 그런가 봐요.,파울 클레는 음악을 사랑해서 그의 그림에 음악을 표현하고자 했기 때문이에요.,QT01,PL01,PT03,PT0312,"{'options': ['음악을 싫어해서', '그림 그리는 법을 배우기 위해서', '그림으로 친구를 만들기 위해서', '음악을 사랑해서 그런가 봐요.']}",2024-09-23T14:36:01.584939,2024-09-23T14:36:01.584939
샤갈은 언제 첼로를 연주했나요?,"첼로 연주자. 마르크 샤갈, 1939년, 개인 소장. 광대 같은 첼로 연주자가 눈이 내리는 밤에 아름다운 연주를 하고 있어요. 첼로 연주자는 바로 샤갈이에요.",눈이 내리는 밤에,샤갈은 눈이 내리는 밤에 아름다운 첼로 연주를 했다고 했어요.,QT01,PL01,PT03,PT0312,"{'options': ['날이 밝은 낮에', '비가 오는 아침에', '바람이 부는 저녁에', '눈이 내리는 밤에']}",2024-09-23T14:36:01.584939,2024-09-23T14:36:01.584939
샤갈과 아내 벨라는 무엇을 하고 있나요?,첼로와 한 몸이 되어 버린 샤갈이 옆으로 바라보고 있는 건 송아지 모습의 아내 벨라예요. 샤갈과 벨라는 광대 같은 모습으로 어린 시절을 추억하며 아름다운 음악을 연주하고 있는 거예요. 마르크 샤갈(1887 1985)은 러시아 출신의 판화가이자 화가예요.,곡을 연주하고 있어요.,지문에서 샤갈과 벨라가 아름다운 음악을 연주하고 있다고 나와 있기 때문입니다.,QT01,PL01,PT03,PT0312,"{'options': ['춤을 추고 있어요.', '그림을 그리고 있어요.', '책을 읽고 있어요.', '곡을 연주하고 있어요.']}",2024-09-23T14:36:01.584939,2024-09-23T14:36:01.584939
샤갈은 러시아를 추억하며 어떤 그림을 그렸나요?,프랑스로 귀화해서 활동했어요. 환상적인 분위기와 화려한 색깔로 동화 같은 그림을 그렸지요. 샤갈의 상상에 러시아에 대한 추억이 더해져서 아주 독특한 그림을 완성했어요.,동화 같은 그림을 그렸어요.,샤갈은 환상적인 분위기와 화려한 색깔로 동화 같은 그림을 그렸기 때문입니다.,QT01,PL01,PT03,PT0312,"{'options': ['사실적인 그림을 그렸어요.', '흑백의 그림을 그렸어요.', '슬픈 그림을 그렸어요.', '동화 같은 그림을 그렸어요.']}",2024-09-23T14:36:01.584939,2024-09-23T14:36:01.584939
제프 쿤스의 작품이 비싼 이유는 무엇인가요?,제프 쿤스(1955 현재)는 미국의 현대 미술가예요. 일상생활 속에서 친숙한 대상들을 아주 특별한 크기나 재질로 누구나 탐내는 미술품을 만들어 내는 데 능통해요. 덕분에 미국에서 아주 비싼 예술품을 만드는 작가이기도 해요.,그의 작품을 누구나 갖고 싶어하기 때문이에요.,사람들이 그의 작품을 갖고 싶어하기 때문에 가격이 비쌉니다.,QT01,PL01,PT03,PT0312,"{'options': ['그의 작품이 유명한 작가의 것이라서요.', '그의 작품이 일상적인 물건으로 만들어져서요.', '그의 작품을 사람들이 많이 보는 것이라서요.', '그의 작품을 누구나 갖고 싶어하기 때문이에요.']}",2024-09-23T14:36:01.584939,2024-09-23T14:36:01.584939
작자 미상의 토끼 형상은 어떻게 만들어졌나요?,"당나라 시대 토끼 형상. 작자 미상, 7~10세기경, 프리어 갤러리. 중국 당나라 시대에 만들어진 토끼 모양 조각상이에요.",토끼 모양 조각으로 만들어졌어요.,지문에서 토끼 형상이 '조각상'이라는 표현이 있으므로 조각으로 만들어졌다는 것이 맞습니다.,QT01,PL01,PT03,PT0312,"{'options': ['토끼 모양 그림으로 만들어졌어요.', '토끼 모양 천으로 만들어졌어요.', '토끼 모양 조각으로 만들어졌어요.', '토끼 모양 종이로 만들어졌어요.']}",2024-09-23T14:36:01.584939,2024-09-23T14:36:01.584939
조각상을 보니 어떤 생각이 났나요?,조각상을 보니 '푸른 하늘 은하수 하얀 쪽배에 계수나무 한 나무 토끼 한 마리'로 시작되는 동요가 생각나요. 이 토끼 모양 조각상은 달에 살고 있는 토끼일까요? 아니면 달에 가고 싶어 달을 바라보는 토끼일까요?,달에 가고 싶어 달을 바라보는 것 같아요.,설명에 따르면 조각상은 달에 가고 싶어 달을 바라보는 토끼로 생각됩니다.,QT01,PL01,PT03,PT0312,"{'options': ['달에 살고 있는 토끼일 것 같아요.', '푸른 하늘을 보며 노래하고 싶어요.', '하얀 배를 타고 여행하고 싶어요.', '달에 가고 싶어 달을 바라보는 것 같아요.']}",2024-09-23T14:36:01.584939,2024-09-23T14:36:01.584939
고대 유적지 모자이크는 어떻게 만든 작품인가요?,"토끼. 작자 미상, 3세기경, 키프로스 파포스의 고대 유적지. 모자이크는 돌이나 유리, 조개껍데기, 타일 같은 재료를 조각조각 붙여서 만드는 작품을 말해요. 이 작품은 술과 풍요의 신 '디오니소스의 저택'에서 발견된 모자이크들 중 하나예요. 이곳은 수많은 신들을 묘사한 모자이크 바닥 장식으로 아주 유명한 곳이에요. '디오니소스의 저택'이 있는 파포스 지역은 유네스코 세계 문화유산으로 지정되어 있어요.",재료들을 하나하나 붙여서 만들었어요.,"모자이크는 돌이나 유리, 조개껍데기, 타일 같은 재료를 조각조각 붙여서 만드는 작품이기 때문입니다.",QT01,PL01,PT03,PT0312,"{'options': ['그림으로 그렸다.', '종이로 만들었다.', '사진을 찍었다.', '재료들을 하나하나 붙여서 만들었어요.']}",2024-09-23T14:36:01.584939,2024-09-23T14:36:01.584939
볼트라피오의 그림 속 여인의 모습은 어떠한가요?,"그래서 볼트라피오의 그림을 보면 왠지 낯익게 느껴져요. 그림 속 젊은 여인의 얼굴 표정은 자연스럽고 편안해요. 또 정면을 향한 몸동작이 아주 안정적으로 보이지요. 뒷배경과 손을 놓은 위치가 조금 다르지만, 어딘지 모르게 모나리자를 떠올리게 해요.",편안해 보여요.,그림 속 여인의 얼굴 표정이 자연스럽고 편안하다고 했기 때문입니다.,QT01,PL01,PT03,PT0312,"{'options': ['슬퍼 보여요.', '무섭게 보이네요.', '어색하게 보이네요.', '편안해 보여요.']}",2024-09-23T14:36:01.584939,2024-09-23T14:36:01.584939
물방울들은 둥둥 무엇을 하고 있었나요?,"물방울들은 둥둥 하늘을 날고 있었어. ""어? 우리 몸이 이상해."" ""이야, 우리가 날고 있어."" ""저 아래 바다 좀 봐.” ""우와, 새보다 더 높이 날고 있어.""",하늘을 날고 있었어요.,물방울들이 하늘을 날고 있다고 지문에 나와 있기 때문입니다.,QT01,PL01,PT03,PT0312,"{'options': ['땅을 기고 있었어요.', '바닷속에서 헤엄치고 있었어요.', '나무 위에 앉아 있었어요.', '하늘을 날고 있었어요.']}",2024-09-23T14:36:01.584939,2024-09-23T14:36:01.584939
물방울들은 무엇보다 더 높이 날고 있다고 했나요?,"물방울들은 둥둥 하늘을 날고 있었어. ""어? 우리 몸이 이상해."" ""이야, 우리가 날고 있어."" ""저 아래 바다 좀 봐.” ""우와, 새보다 더 높이 날고 있어.""",새보다 더 높이,물방울들이 '새보다 더 높이 날고 있어'라고 말했다고 했어요.,QT01,PL01,PT03,PT0312,"{'options': ['구름보다 높이', '새보다 더 높이', '비행기보다 낮게', '나무보다 더 높이']}",2024-09-23T14:36:01.584939,2024-09-23T14:36:01.584939
물방울들은 어쩌다가 동글동글 초콜릿이 되었을까요?,"먹물을 먹은 물방울들은 동글동글 초콜릿이 되었어. 아기 고래가 물방울을 꿀꺽 삼키려고 다가왔어. ""와! 초콜릿이다."" 커다란 입으로 앙! ""으악! 도망가자!""",먹물을 먹었기 때문이에요.,물방울들이 먹물을 먹어서 초콜릿이 되었어요.,QT01,PL01,PT03,PT0312,"{'options': ['비가 와서 물방울이 생겼기 때문이에요.', '물방울이 요리사에게 배웠기 때문이에요.', '물방울이 신기한 힘을 가졌기 때문이에요.', '먹물을 먹었기 때문이에요.']}",2024-09-23T14:36:01.584939,2024-09-23T14:36:01.584939
아기 고래가 나타나자 초콜릿들은 무엇을 하려고 하나요?,"먹물을 먹은 물방울들은 동글동글 초콜릿이 되었어. 아기 고래가 물방울을 꿀꺽 삼키려고 다가왔어. ""와! 초콜릿이다."" 커다란 입으로 앙! ""으악! 도망가자!""",도망가려고 해요.,아기 고래가 나타나자 초콜릿들은 '으악! 도망가자!'라고 하면서 도망가려고 하니까요.,QT01,PL01,PT03,PT0312,"{'options': ['놀이를 하려고 해요.', '아기 고래에게 다가가려 해요.', '아기 고래에게 말을 걸려 해요.', '도망가려고 해요.']}",2024-09-23T14:36:01.585938,2024-09-23T14:36:01.585938
너무 추운 날씨에 마을은 어떤 모습으로 변하게 되었나요?,"어느 추운 겨울날이었어요. 모든 것이 꽁꽁 얼어붙은 마을이 있었지요. 나무도 꽁꽁, 강물도 꽁꽁, 집도 꽁꽁.",마을이 껑꽁 얼어붙었어요.,추운 날씨 때문에 모든 것이 꽁꽁 얼어붙었기 때문입니다.,QT01,PL01,PT03,PT0312,"{'options': ['마을이 따뜻해졌어요.', '마을이 흐릿해졌어요.', '마을이 밝아졌어요.', '마을이 껑꽁 얼어붙었어요.']}",2024-09-23T14:36:01.585938,2024-09-23T14:36:01.585938
강아지는 혼자 있을 때 어떤 기분이었나요?,모인 눈으로 모양을 만들었어요. 또 한 마리 강아지였지요. 심심했던 강아지가 친구를 만든 거예요.,많이 심심해요.,지문에서 '심심했던 강아지가 친구를 만든 거예요'라고 언급되어 있어 강아지가 심심했음을 알 수 있습니다.,QT01,PL01,PT03,PT0312,"{'options': ['많이 행복해요.', '많이 배고파요.', '많이 피곤해요.', '많이 심심해요.']}",2024-09-23T14:36:01.585938,2024-09-23T14:36:01.585938
심심했던 강아지는 결국 어떤 일을 하게 되었나요?,모인 눈으로 모양을 만들었어요. 또 한 마리 강아지였지요. 심심했던 강아지가 친구를 만든 거예요.,눈을 모아 강아지 모양의 친구를 만들게 되었어요.,강아지는 심심해서 눈을 모아 친구를 만들었어요.,QT01,PL01,PT03,PT0312,"{'options': ['눈으로 친구를 만들었어요.', '다른 강아지와 놀았어요.', '산책을 갔어요.', '눈을 모아 강아지 모양의 친구를 만들게 되었어요.']}",2024-09-23T14:36:01.585938,2024-09-23T14:36:01.585938
눈들이 만든 모양은 나중에 어떻게 되었나요?,"눈들은 조금씩, 조금씩 모양을 만들었어요. 쫑긋 귀, 살랑살랑 꼬리, 길쭉길쭉 다리가 보였어요. 잘 살펴보니 그건 강아지였어요.",강아지 모습이 되었어요.,눈들이 만든 모양이 나중에 강아지로 보였기 때문입니다.,QT01,PL01,PT03,PT0312,"{'options': ['사람이 되었어요.', '새가 되었어요.', '차가 되었어요.', '강아지 모습이 되었어요.']}",2024-09-23T14:36:01.585938,2024-09-23T14:36:01.585938
곧 많은 눈이 내려 어떤일이 생기게 되었을까요?,"아무도 보지 않는 밤이 되었어요. 솜털 같은 눈이 떨어지기 시작했지요. 한 개, 두 개, 세 개. 곧 많은 눈이 내렸어요.",많은 눈이 내려 온 마을을 뒤덮었을 것 같아요.,많은 눈이 내리면 주변 환경이 눈으로 덮이게 되기 때문입니다.,QT01,PL01,PT03,PT0312,"{'options': ['사람들이 눈싸움을 하게 되었어요.', '겨울이 오지 않게 되었어요.', '모든 나무가 피어났어요.', '많은 눈이 내려 온 마을을 뒤덮었을 것 같아요.']}",2024-09-23T14:36:01.585938,2024-09-23T14:36:01.585938
"엄마 맘에 우리 집이 그려질 때, 어떻게 온다고 했나요?","""엄마, 언제 와?"" 엄마 맘이 풍선처럼 가벼워졌을 때. 엄마 맘에 우리 집이 그려질 때. 그럴 때 쌩하니 바람처럼 달려올게. ""엄마 왔다!""",쌩하니 바람처럼 달려온다고 했어요.,엄마는 맘에 우리 집이 그려질 때 쌩하니 바람처럼 달려온다고 말했어요.,QT01,PL01,PT03,PT0312,"{'options': ['천천히 걸어온다고 했어요.', '소리 없이 온다고 했어요.', '배로 온다고 했어요.', '쌩하니 바람처럼 달려온다고 했어요.']}",2024-09-23T14:36:01.585938,2024-09-23T14:36:01.585938
잠에서 깬 아가는 무엇을 하고 있었나요?,"""엄마, 무슨 소리야?"" 부스럭부스럭 도깨비 소리인가? 아닌가? 가만가만, 쉬잇! ""사브작, 사브작"" 잠에서 깬 우리 아가 혼자 노는 소리구나.",혼자 놀고 있었어요.,지문에서 아가는 '혼자 노는 소리구나'라고 표현되어 있어서 혼자 놀고 있었던 것을 알 수 있습니다.,QT01,PL01,PT03,PT0312,"{'options': ['잠을 자고 있었어요.', '엄마와 이야기하고 있었어요.', '책을 읽고 있었어요.', '혼자 놀고 있었어요.']}",2024-09-23T14:36:01.585938,2024-09-23T14:36:01.585938
도깨비 소리가 아닌 아기가 혼자 노는 소리인 것을 알고 어떤 기분이 들었을까요?,"""엄마, 무슨 소리야?"" 부스럭부스럭 도깨비 소리인가? 아닌가? 가만가만, 쉬잇! ""사브작, 사브작"" 잠에서 깬 우리 아가 혼자 노는 소리구나.",안심이 됐을 것 같아요.,아기가 혼자 놀고 있어서 무서운 소리가 아니라 안심이 되었을 것이라는 뜻이다.,QT01,PL01,PT03,PT0312,"{'options': ['무서웠을 것 같아요.', '슬펐을 것 같아요.', '짜증났을 것 같아요.', '안심이 됐을 것 같아요.']}",2024-09-23T14:36:01.585938,2024-09-23T14:36:01.585938
빨간색을 어떻게 표현했나요?,"""엄마, 뭐 생각해?"" 빨간색은 빨리빨리, 힘차게! 초록색은 느긋느긋, 산들산들!",빨리빨리 힘차게,"빨간색은 '빨리빨리, 힘차게'라고 표현되었기 때문이에요.",QT01,PL01,PT03,PT0312,"{'options': ['천천히 느긋하게', '부드럽고 산들산들', '조용하고 차분하게', '빨리빨리 힘차게']}",2024-09-23T14:36:01.585938,2024-09-23T14:36:01.585938
이 글 속의 인물은 무엇을 하고 있다고 했나요?,"분홍색은 새콤달콤, 아롱다롱! 주황색은 나긋나긋, 재잘재잘! ""색깔 나라 생각하고 있어.""",색깔 나라 생각을 하고 있다고 했어요.,글 속에서 인물이 색깔 나라를 생각하고 있다고 했기 때문입니다.,QT01,PL01,PT03,PT0312,"{'options': ['색깔 나라를 여행하고 있어요.', '색깔 나라를 그리려고 하고 있어요.', '색깔 나라를 배우고 있어요.', '색깔 나라 생각을 하고 있다고 했어요.']}",2024-09-23T14:36:01.585938,2024-09-23T14:36:01.585938
엄마는 무엇을 했을까요?,"크! 시큼털털한 냄새. ""엄마, 무슨 냄새야?"" ""피시식"" 어머나! 방귀를 꼈네. ""뿌웅 뿌루룽""",방귀를 꼈어요.,지문에 '어머나! 방귀를 꼈네.'라고 나와 있으므로 엄마가 방귀를 꼈다는 것을 알 수 있습니다.,QT01,PL01,PT03,PT0312,"{'options': ['맛있는 음식을 만들었어요.', '방귀를 꼈어요.', '게임을 했어요.', '책을 읽었어요.']}",2024-09-23T14:36:01.585938,2024-09-23T14:36:01.585938
시큼털털한 냄새가 난 이유는 무엇인가요?,"크! 시큼털털한 냄새. ""엄마, 무슨 냄새야?"" ""피시식"" 어머나! 방귀를 꼈네. ""뿌웅 뿌루룽""",방귀를 뀌었기 때문이에요.,방귀를 뀌었기 때문에 시큼털털한 냄새가 났어요.,QT01,PL01,PT03,PT0312,"{'options': ['엄마가 요리를 했기 때문이에요.', '강아지가 무는 장난감 때문이에요.', '비가 와서 습기가 생겼기 때문이에요.', '방귀를 뀌었기 때문이에요.']}",2024-09-23T14:36:01.585938,2024-09-23T14:36:01.585938
